cells,taxagroup,T2Mexp
14708,mammals,0
14709,mammals,0
14710,mammals,0
14711,mammals,0
14712,mammals,0
14713,birds,0
14713,mammals,0
14714,birds,0
14714,mammals,0
14715,birds,0
14715,mammals,0
14716,birds,0
14716,mammals,0
14717,birds,0
14717,mammals,0
14718,birds,0
14718,mammals,0
14719,birds,0
14719,mammals,0
14720,birds,0
14720,mammals,0
14721,birds,0
14721,mammals,0
14722,birds,0
14722,mammals,0
14723,birds,0
14723,mammals,0
14783,birds,0
14783,mammals,0
14784,birds,0
14784,mammals,0
14785,birds,0
14785,mammals,0
14786,birds,0
14786,mammals,0
14787,birds,0
14787,mammals,0
14791,birds,0
14791,mammals,0
14792,birds,0
14793,birds,0
14794,birds,0
14795,birds,0
14796,birds,0
14801,birds,0
14801,mammals,0
14802,birds,0
14803,birds,0
14804,birds,0
14805,birds,0
14806,birds,0
14807,birds,0
14808,birds,0
14809,birds,0
14810,birds,0
14811,birds,0
14812,birds,0
14813,birds,0
15270,birds,0
15270,mammals,0
15271,birds,0
15271,mammals,0
15294,birds,0
15294,mammals,0
15295,birds,0
15295,mammals,0
15296,birds,0
15296,mammals,0
15297,birds,0
15297,mammals,0
15298,birds,0
15298,mammals,0
15299,birds,0
15299,mammals,0
15300,birds,0
15300,mammals,0
15301,birds,0
15301,mammals,0
15302,birds,0
15302,mammals,0
15303,birds,0
15303,mammals,0
15304,birds,0
15304,mammals,0
15305,birds,0
15305,mammals,0
15306,birds,0
15306,mammals,0
15307,birds,0
15307,mammals,0
15308,birds,0
15308,mammals,0
15311,birds,0
15311,mammals,0
15312,birds,0
15312,mammals,0
15313,birds,0
15313,mammals,0
15314,birds,0
15314,mammals,0
15315,birds,0
15315,mammals,0
15316,birds,0
15316,mammals,0
15317,birds,0
15317,mammals,0
15318,birds,0
15318,mammals,0
15319,birds,0
15319,mammals,0
15320,birds,0
15320,mammals,0
15321,birds,0
15321,mammals,0
15322,birds,0
15322,mammals,0
15323,birds,0
15323,mammals,0
15324,birds,0
15324,mammals,0
15325,birds,0
15325,mammals,0
15326,birds,0
15326,mammals,0
15327,birds,0
15327,mammals,0
15328,birds,0
15328,mammals,0
15347,birds,0
15347,mammals,0
15348,birds,0
15348,mammals,0
15349,birds,0
15349,mammals,0
15350,birds,0
15350,mammals,0
15351,birds,0
15351,mammals,0
15352,birds,0
15352,mammals,0
15353,birds,0
15353,mammals,0
15354,birds,0
15354,mammals,0
15355,birds,0
15355,mammals,0
15356,birds,0
15356,mammals,0
15357,birds,0
15357,mammals,0
15358,birds,0
15358,mammals,0
15359,birds,0
15359,mammals,0
15360,birds,0
15360,mammals,0
15361,birds,0
15361,mammals,0
15362,birds,0
15362,mammals,0
15363,birds,0
15363,mammals,0
15364,birds,0
15364,mammals,0
15365,birds,0
15365,mammals,0
15366,birds,0
15366,mammals,0
15367,mammals,0
15368,mammals,0
15369,mammals,0
15370,mammals,0
15371,mammals,0
15372,mammals,0
15373,mammals,0
15374,mammals,0
15375,mammals,0
15376,mammals,0
15377,mammals,0
15378,mammals,0
15379,mammals,0
15380,mammals,0
15381,mammals,0
15382,mammals,0
15383,mammals,0
15384,mammals,0
15385,mammals,0
15386,mammals,0
15387,mammals,0
15388,mammals,0
15389,mammals,0
15390,mammals,0
15391,mammals,0
15392,mammals,0
15393,mammals,0
15394,mammals,0
15395,mammals,0
15396,mammals,0
15397,mammals,0
15398,mammals,0
15399,mammals,0
15400,mammals,0
15401,mammals,0
15402,mammals,0
15403,mammals,0
15404,mammals,0
15405,mammals,0
15406,mammals,0
15407,mammals,0
15408,mammals,0
15409,mammals,0
